depth;CT;SA
0;4.018837247;30.74992328
1;4.018837247;30.74992328
2;4.085220458;31.34479524
3;4.350847368;32.09881289
4;4.480721517;32.49115071
5;4.506495727;32.73386686
6;4.60371621;32.88358377
7;4.7059363;33.08115383
8;4.804736634;33.2181822
9;4.924930308;33.42025078
10;5.091847484;33.54732179
11;5.218309159;33.63683362
12;5.19993246;33.68727568
13;5.135083201;33.72651864
14;5.122140962;33.78074055
15;5.152557875;33.83068632
16;5.059845847;33.88275211
17;4.90419656;33.90398628
18;4.930035023;33.95115873
19;4.948110751;33.98862458
20;5.01997425;34.03118416
21;5.117456648;34.08281795
22;5.084409516;34.10288667
23;5.06910682;34.1250835
24;5.031357162;34.14233091
25;5.003581049;34.16160427
26;5.136188048;34.21276678
27;5.202668891;34.25140643
28;5.238152519;34.28362886
29;5.181023906;34.30109295
30;5.0879291;34.32438555
31;5.022507504;34.3497313
32;4.965405984;34.36586584
33;4.958623528;34.38380128
34;4.950559832;34.40464959
35;4.918939083;34.42338735
36;4.899955976;34.44235532
37;4.922712983;34.46226763
38;4.86181974;34.47883396
39;4.80422268;34.50539316
40;4.761378306;34.5256782
41;4.804719191;34.55280862
42;4.806596711;34.58588121
43;4.763494461;34.61874666
44;4.750480417;34.64492897
45;4.71028057;34.68121051
46;4.655415658;34.70734983
47;4.590862546;34.73548412
48;4.518704477;34.75692968
49;4.447407681;34.79293388
50;4.397688875;34.82476911
51;4.354552814;34.85064558
52;4.295697099;34.89131588
53;4.208767804;34.92126891
54;4.096991665;34.94794431
55;3.972620872;34.959369
56;3.813584407;34.98754157
57;3.675288297;35.00159898
58;3.492108218;35.01982481
59;3.294341507;35.03604524
60;3.18939499;35.04173026
61;3.045337903;35.04856559
62;2.890617807;35.05403173
63;2.793236066;35.05780106
64;2.844775853;35.05601024
65;2.746886514;35.05810613
66;2.829170629;35.0567859
67;2.590335771;35.06694416
68;2.56475585;35.06789363
69;2.637686194;35.06428906
70;2.626646982;35.06183354
71;2.587841066;35.06177616
72;2.504702544;35.06583793
73;2.479698041;35.06606316
74;2.503745693;35.06616845
75;2.495159413;35.06535515
76;2.486549412;35.06503782
77;2.470588087;35.06463139
